,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
V1,0.5888889,0.4033058,0.1969697,0.08481262,0.02982732,0.02222222,0.02760417,0.01903114,0.01488744,0.01323484,0.01052632,0.00952381,0.008658009,0.007905138,0.007246377,0.006666667,0.006153846,0.005698006,0.005291005,0.004926108,0.004597701,0.004301075,0.004032258
V2,0.6466667,0.4446281,0.1969697,0.21400394,0.12637363,0.08190476,0.07135417,0.06271626,0.05555556,0.04678363,0.04210526,0.03809524,0.034632035,0.031620553,0.028985507,0.026666667,0.024615385,0.022792023,0.021164021,0.019704433,0.018390805,0.017204301,0.016129032
V3,0,0,0.3585859,0.29783037,0.21821036,0.20571429,0.15,0.13797578,0.11764706,0.10526316,0.09473684,0.08571429,0.077922078,0.071146245,0.065217391,0.06,0.055384615,0.051282051,0.047619048,0.044334975,0.04137931,0.038709677,0.036290323
V4,0,0,0,0,0,0,0.284375,0.23529412,0.20915033,0.1871345,0.17289474,0.15238095,0.138528139,0.126482213,0.115942029,0.106666667,0.098461538,0.091168091,0.084656085,0.078817734,0.073563218,0.068817204,0.064516129
V5,0,0,0,0,0,0,0,0,0,0,0.26315789,0.23809524,0.216450216,0.197628458,0.18115942,0.166666667,0.153846154,0.142450142,0.132275132,0.123152709,0.114942529,0.107526882,0.100806452
V6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565,0.24,0.221538462,0.205128205,0.19047619,0.177339901,0.165517241,0.15483871,0.14516129
V7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259259259,0.24137931,0.225287356,0.210752688,0.197580645
V8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258064516
